Agriculture,The mining industry,Manufacturing industry,Power,The construction industry,The wholesale and retail industry,Traffic and transportation industry,Accommodation and catering industry,The transmission of information industry,Finance,Estate,Leasing and business services,The scientific research and technical services,Water conservancy,Education,Health and social work,Culture and sports,Comprehensive
,,600595,,,,,,,,,,,,,,,
,,600596,,,,,,,,,,,,,,,
,,600597,,,,,,,,,,,,,,,
,,600599,,,,,,,,,,,,,,,
,,600600,,,,,,,,,,,,,,,
,,600601,,,,,,,,,,,,,,,
,,600602,,,,,,,,,,,,,,,
,,600608,,,,,,,,,,,,,,,
,,600609,,,,,,,,,,,,,,,
,,600610,,,,,,,,,,,,,,,
,,600612,,,,,,,,,,,,,,,
,,600613,,,,,,,,,,,,,,,
,,600614,,,,,,,,,,,,,,,
,,600615,,,,,,,,,,,,,,,
,,600616,,,,,,,,,,,,,,,
,,600618,,,,,,,,,,,,,,,
,,600619,,,,,,,,,,,,,,,
,,600623,,,,,,,,,,,,,,,
,,600629,,,,,,,,,,,,,,,
,,600630,,,,,,,,,,,,,,,
,,600634,,,,,,,,,,,,,,,
,,600636,,,,,,,,,,,,,,,
,,600651,,,,,,,,,,,,,,,
,,600654,,,,,,,,,,,,,,,
,,600660,,,,,,,,,,,,,,,
,,600664,,,,,,,,,,,,,,,
,,600666,,,,,,,,,,,,,,,
,,600667,,,,,,,,,,,,,,,
,,600668,,,,,,,,,,,,,,,
,,600671,,,,,,,,,,,,,,,
,,600673,,,,,,,,,,,,,,,
,,600678,,,,,,,,,,,,,,,
,,600679,,,,,,,,,,,,,,,
,,600680,,,,,,,,,,,,,,,
,,600685,,,,,,,,,,,,,,,
,,600686,,,,,,,,,,,,,,,
,,600687,,,,,,,,,,,,,,,
,,600688,,,,,,,,,,,,,,,
,,600689,,,,,,,,,,,,,,,
,,600690,,,,,,,,,,,,,,,
,,600691,,,,,,,,,,,,,,,
,,600695,,,,,,,,,,,,,,,
,,600698,,,,,,,,,,,,,,,
,,600699,,,,,,,,,,,,,,,
