date,600079.ss,600080.ss,600081.ss,600083.ss,600084.ss,600085.ss,600086.ss,600089.ss,600090.ss,600091.ss,600093.ss,600095.ss,600096.ss,600099.ss,600100.ss,600103.ss,600104.ss,600105.ss,600107.ss,600110.ss,600111.ss,600112.ss,600114.ss,600117.ss,600118.ss,600126.ss,600127.ss,600129.ss,600130.ss,600132.ss,600135.ss,600137.ss,600141.ss,600143.ss,600145.ss,600146.ss,600148.ss,600150.ss,600151.ss,600152.ss
2015-4-17,-0.016779511,-0.021245421,0.000501002,0,-0.006793478,0.007587253,0,0.045977011,0,-0.001190476,-0.001162115,0,-0.006024096,0,-0.002730748,-0.004885993,-0.002532562,0.021903323,0,-0.006818182,0.030053727,-0.01877053,0.076235827,0,0.066726302,-0.008137432,0.003952569,0,-0.011840689,-0.017312448,0.006090216,0.006721434,0.018289086,0.026205451,0,0.003307152,0.055234955,0.100020288,0.025473071,-0.018198362
2015-4-16,0.01981387,0.02247191,0.004024145,0,0.012379642,0.040088384,0,0.031191516,0,0.007194245,-0.002896871,-0.000860585,-0.015810277,0,0.045091324,0.030201342,0.073398058,0.057507987,0,0.030444965,0.013781686,0.014278915,0.080068041,0,0.01974477,-0.034904014,-0.01171875,0,0.002157497,0.006639004,-0.005451616,0.001870557,0.018018018,0.015974441,0,-0.004116921,0.005804312,0.066421463,0.033082707,0.009182736
2015-4-15,-0.049643367,-0.025547445,-0.100045269,0,-0.055844156,-0.065210977,0,-0.049228944,0,-0.050113895,-0.044296788,-0.065164924,-0.048275862,0,-0.044189853,-0.019736842,0.007039499,-0.030959752,0,-0.042600897,-0.0393713,-0.073633157,-0.029217377,0,-0.048279803,-0.06601467,-0.044776119,0,0.052213394,-0.097378277,-0.069858953,-0.036062027,-0.048027444,-0.01572327,0,0.004964832,-0.070520231,-0.05519215,-0.041786744,0.004612546
2015-4-14,-0.022042411,-0.007246377,0.057950192,0,-0.02284264,0.067401575,0,0.001782531,0,-0.012373453,-0.050972149,-0.019716088,0.012698413,-0.040889527,-0.028101803,0.046471601,0,0.03525641,0,-0.01870187,-0.009663747,-0.026191498,-0.009825417,0,0.00493904,0.028499581,0.006257822,0,0.066585956,0.029298381,0.041666936,-0.039487357,-0.019618834,0.056478405,0,0.10013655,0.023668639,0.05772973,0.036594473,-0.008234218
2015-4-13,0.031366906,0.028315946,0.01803998,0,0.003821656,0.040983607,0,0,0,0.049586777,0.003162889,0.008750994,0.026058632,0.004322767,0.072200114,0.100378788,-0.006218422,0.030553262,0,0.030612245,0.000688808,0.02553941,0.014396778,0,0.002329772,0.02140411,0.047182176,0,0.053571429,-0.000385356,0.019138409,0.011562719,0.002810568,0.012331839,0,-0.005432322,0.069620253,0.011371091,0.003748126,0.047938639
2015-4-10,0.04104254,0.029141104,0.031171443,0,0.011597938,0.026936027,0,0.055172414,0,0.049566295,0.066929134,-0.001588562,0.012532982,0.050719152,0.067354369,0.07755102,0.009415457,0.021940928,0,0.018475751,0.062366184,0.005312085,0.011197936,0,0.04218492,-0.017661901,0.029689609,0,0.028871391,-0.001539053,0.025767219,0.074548193,0.007361268,0.012485812,0,0.008675799,0.011955594,0.023271425,0.038132296,0.023552502
2015-4-9,-0.032744132,-0.041176471,-0.045585413,0,0.017038008,0.016775077,0,-0.003747658,0,0.041290323,-0.018221977,-0.075624082,-0.0423247,-0.032942899,-0.026580035,-0.031620553,-0.027099237,-0.036585366,0,0.04589372,-0.022241369,-0.082825822,-0.045940232,0,-0.02831001,0.099907493,-0.026281209,0,-0.030534351,-0.071454091,-0.019254166,0.024691358,-0.024309392,-0.020022247,0,-0.01528777,-0.035420099,-0.032893313,-0.038893044,-0.028598665
2015-4-8,-0.010324061,-0.038189533,-0.0383018,0,-0.023047375,0.014236111,0,-0.011728395,0,0.019736842,-0.035676251,0.03652968,-0.022235948,0.071372549,-0.038068182,-0.015564202,0.004216175,-0.029968454,0,-0.03271028,-0.022097611,0.059354839,-0.020920002,0.073381295,-0.039376864,0.099694812,-0.024358974,0,-0.02962963,0.062239089,-0.039861026,-0.003076923,-0.035181237,-0.030204962,0.050473186,-0.018534863,-0.033824115,-0.028793611,-0.03186097,0
2015-4-7,0.013073794,0.0056899,-0.005050505,0,0.042723632,0.053016453,0,0.00871731,0,-0.00131406,0.049748463,0.032207384,0.054036458,0.036585366,0.030444965,0.057613169,-0.0053374,0.042763158,0,0.019047619,0.013512172,0.024680476,0.00209628,0.011644833,-0.006473404,0.099552573,0.012987013,0,0.025316456,0.100208768,0.001156174,0.000384763,0.021786492,0.002162162,0.00955414,-0.010480349,0.010454363,0.010405606,-0.000723589,0.021421616
2015-4-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
