date,600155.ss,600156.ss,600160.ss,600161.ss,600163.ss,600165.ss,600166.ss,600169.ss,600171.ss,600172.ss,600176.ss,600177.ss,600178.ss,600179.ss,600182.ss,600183.ss,600184.ss,600186.ss,600189.ss,600191.ss,600192.ss,600195.ss,600196.ss,600197.ss,600198.ss,600199.ss,600201.ss,600202.ss,600206.ss,600210.ss,600213.ss,600216.ss,600217.ss,600218.ss,600219.ss,600220.ss,600222.ss,600226.ss,600227.ss,600228.ss,600229.ss,600230.ss,600231.ss,600232.ss,600233.ss,600234.ss,600235.ss,600237.ss,600243.ss,600249.ss,600251.ss,600252.ss,600255.ss,600261.ss,600262.ss,600267.ss,600268.ss,600271.ss,600273.ss,600276.ss,600277.ss,600281.ss,600282.ss,600285.ss,600288.ss,600290.ss,600291.ss,600293.ss,600295.ss,600297.ss,600298.ss,600299.ss,600300.ss,600301.ss,600302.ss,600303.ss,600305.ss,600307.ss,600308.ss,600309.ss
2015-3-24,0,-0.011904762,-0.014117647,0.079616963,0,0.008752735,-0.021108179,-0.018703242,-0.012564249,0.030250648,-0.004904257,0.018285714,-0.019586507,0,-0.01659292,0.055936073,-0.007287986,0.0624,0,0,-0.02908805,-0.01725791,-0.009588494,0.004576659,0.049331104,-0.023076923,-0.012872841,0.02373247,0.055268976,-0.019908116,-0.001208459,-0.013462977,-0.021988528,-0.019019751,-0.026809651,0.028282828,-0.013001083,0.037884203,-0.016296296,0,-0.017080745,-0.019230769,0.009160305,0,0.001626898,0,-0.009127789,0.016029593,-0.00708502,-0.011956522,-0.010339123,0.083557951,0.052058111,-0.019695613,-0.029423003,0.0454316,-0.027956989,0,-0.028912634,-0.011309658,0.081576535,-0.022972973,0.042462845,0,-0.030843355,-0.022875267,0.025816862,0,-0.029945554,0.057086614,-0.011755168,-0.036174126,-0.030837004,-0.035852713,-0.028368794,-0.008053691,-0.01449932,0.024122807,-0.012891344,-0.022973559
2015-3-23,0,0.008733624,0.031553398,-0.006523512,0,-0.002183406,0.032697548,0.013906448,0.016250725,-0.002586207,0.013419438,0.069028711,-0.006486486,0,0.00388673,0.017421603,0.008912656,0.003210273,0,0,0.036674817,0.046138415,0.017066233,0.006912442,0.071204657,0.006018917,-0.010363357,0.03575419,0.014958863,0.00927357,-0.003612282,0.019832189,0.028515241,0.005886681,0.014505893,0.042105263,0.013172338,0.079475309,0.010479042,0,0.023034154,0.006701415,-0.006069803,0,0.100238663,0,-0.009045226,0.022698613,0.021716649,0.068524971,0.021114865,0.002160994,0.012254902,0.02854512,0.009645062,0.012263669,0.018619934,0,-0.01425031,0.002721706,0.035104364,0.009549795,0.017278618,0,0.003870341,0.016611132,0.006087662,0,0.011009174,0.01061008,0.004478827,0.001842752,0.010385757,0.02584493,0.004750594,0.036161335,0.018928901,0.036363636,0.034285714,0.001302083
2015-3-20,0,0,-0.006031363,-0.013937282,0,0.015521064,-0.017402945,-0.018610422,0.019526627,0.039426523,-0.018536667,0.058177117,0.01760176,0,-0.002768549,0.007017544,-0.003552398,-0.011111111,0,0,-0.001627339,0.022039979,0.01989225,0.002309469,0.070983213,0.034697509,0.012716335,0,0.011346445,-0.00154321,-0.001802885,0.000763359,-0.042372881,0.001473839,-0.010762332,-0.004192872,-0.002190581,-0.005372218,-0.007429421,0,0.006394884,-0.007390983,-0.001515152,0,-0.010041347,-0.016479895,0.009127789,0.005069708,-0.012257406,-0.004624277,-0.004205214,0.007621121,0.002457002,0.008356546,0.003095975,-0.005589431,0.029312289,0.100044227,0.061143984,0.043056541,0.039447732,0.033850494,-0.016985138,0.010214505,0.04711283,0.000831414,0.022406639,0,-0.023297491,-0.013089005,-0.007275667,0.050322581,0.035330261,0.050104384,-0.014051522,0.0027894,-0.001843318,0.00456621,0.02739726,-0.002597403
2015-3-19,0,0.020044543,0.007290401,0.046857464,0,-0.042462845,0.00538358,0.01511335,-0.018012783,-0.013262599,0,-0.008333333,0.041237113,0,0.010632345,-0.004656577,-0.0330614,0.011235955,0,0,-0.000813008,0.013506494,-0.012684124,0.007757952,-0.033379694,-0.008818342,-0.021977226,0.011299435,0.00608828,0.046849758,-0.027469316,0.016291699,-0.003752345,0.010424423,0.035283194,0.021413276,-0.006528836,0.037420382,0.002980626,0.1,-0.012628256,0.022675737,-0.040697674,0,0.100064977,-0.005245902,-0.017928287,-0.00754717,0.027282267,-0.008027523,0.015805211,-0.032139094,0.014962594,0.001860465,0.0336,0,0.009101251,0.014173338,0.004623514,-0.016976744,-0.004906771,-0.016643551,0.023913043,-0.009109312,-0.023255929,-0.008244765,-0.034455128,0,0.021978022,-0.012281836,-0.002821443,0.050135501,-0.010638298,-0.005192108,0.05955335,0,-0.012289486,-0.026666667,-0.00776699,0.010940919
2015-3-18,0,0.015837104,0.013546798,0.044548652,0.007079646,-0.000707214,0,0.029831388,0.014740566,0.030054645,-0.035294051,0.03654485,0.003448276,0,0.019977169,0.014167651,-0.000429185,-0.011111111,0,0,0.040609137,0.017979905,0.01452885,0.01496063,0.011251758,0.023465704,-0.008401099,0.019585253,0.011547344,0.01309329,-0.004653869,0.099829352,-0.049910873,0.015885023,0.011267606,0.010822511,0.038418079,0.015359741,0.1,0,0.031758958,0.01146789,-0.001451379,0,0.035666218,0.069424965,-0.007905138,0.028460543,0.006335797,0,0.031732041,0.009574468,0.100137174,0.020892688,0.006846557,0.01443299,0.019721578,0.017861361,0.025050779,0.014629542,0.009910803,0.018361582,0,0.019607843,0.068746385,-0.007364736,0.006857604,0,0.007380074,-0.004504505,0.040687919,0.049786629,0.03785489,-0.002072539,0.010025063,0.099693252,0.014312096,0.061320755,0.017786561,0.022371365
2015-3-17,0,0.029103609,0,-0.011301072,0.050185874,-0.018055556,0.042075736,0.04048583,-0.004694836,0.003656307,0.039119932,0.004002668,0.013986014,0,0.001142857,0.005938242,0.058369294,-0.007874016,0,0,0.002544529,-0.011500261,0.016026993,0.006339144,-0.010208817,0.018382353,-0.011463454,0.009302326,-0.009908537,0.011589404,0.001748252,0.007738607,0,0.005323194,0.052371542,0.008733624,-0.014476615,-0.00562701,0.008264463,0.050167224,-0.001626016,0.006153846,-0.010057471,0,0.025534852,-0.013831259,0.083511777,0.018445323,0.026002167,0.023474178,0.099854581,0.00373732,0.023876404,0.003813155,0.014711892,-0.001029866,0.012925969,0.008312066,0.01303155,-0.013959981,0.040206186,0.014326648,0.09263658,0,0.017761433,0.026028448,-0.015097338,0,-0.009140768,0.010403121,-0.009966777,0.047690015,-0.001574803,0.012591815,0.002512563,0.010852713,-0.011861314,0.024154589,0.036885246,-0.020595968
2015-3-16,0,0.018979834,0.03307888,0.082836523,0.024761905,0.075429425,0.021489971,0.015068493,0.000587199,0.039923954,0.099462053,0.022510232,0.014184397,0,0.014492754,0.034398034,0.007090576,0.034201954,0,0,0.015503876,0.021901709,0.025962787,0.02351987,0.006069094,0.015873016,0.043864036,0.020166074,0.006907137,0.021996616,0.009411765,0.020175439,0.004476276,0.01859024,0.014028056,0.013274336,0.015837104,0.035803497,0.023688663,0.049859551,0.018211921,0.023622047,0.013100437,0,0.046965318,0.008368201,0.01191766,0.034059946,0.030133929,0.009478673,0.028414756,0.052838673,0.028901734,0.062816616,0.005341002,0.018887723,0.020383693,0.056083893,0.06345733,0.003033839,0.03965702,0.018978102,0.014457831,0.004145078,0.024820591,0.029386748,0.056675063,0,0.022429907,0.031522468,0.019906819,0.050078247,0.024193548,0.021436227,0.031088083,0.017350158,0.057915058,0.019704433,0.020920502,0.017841213
2015-3-13,0,-0.009400705,-0.001270648,0.057398806,0.013513514,0.100246508,-0.007112376,0.013888889,-0.014467593,0.031372549,0.065292395,-0.022014676,0.018050542,0,0.012918379,0.011180124,-0.011754069,-0.003246753,0,0,0.0078125,0.02295082,0.008289703,0.005709625,0.001402525,0.006578947,0.041859657,0.002378121,0.034948372,0,0.004728132,0.004405286,0.021023766,0.010963195,-0.028237585,-0.002207506,0.006833713,0.012647555,0.00681431,0.017142857,0.003322259,0.008737093,0.016272189,0,0.00727802,0.027956989,0.025555556,0.009628611,0.015873016,0.029268293,0.010579345,0.042179262,0.005813953,0.008171604,0.008285004,0.013829787,0.008464329,0.016860773,0.005131965,-0.003024663,-0.001070664,0,-0.016587678,0.005208333,-0.01037131,0.008718309,0.014480409,0,0.030828516,0.003364738,-0.011720385,0.037337662,0.014729951,0.020787746,-0.005154639,0.022580645,0.004849661,0.009950249,-0.004166667,-0.017097764
2015-3-12,0,-0.011614402,0.006393862,-0.009530069,-0.009560229,0.034863946,-0.015406162,-0.004149378,0.053016453,0.025125628,0.015115943,0.004018754,-0.050285714,0,-0.02013809,-0.020681265,0.014911677,0.031825796,0,0,-0.003460208,0.033314512,-0.015886647,-0.003252033,0.038349515,0.009487666,0.041381112,-0.025492468,-0.006314128,-0.019900498,-0.000590667,0.000881834,-0.017070979,0.006304177,-0.011549567,-0.015217391,-0.007909605,-0.030253475,-0.015100671,0,0.016033755,-0.013322884,0.049689441,0,0.013274336,-0.027874564,-0.020674646,-0.017567568,-0.023255814,-0.012048193,0.004554656,0.007079646,-0.017142857,-0.00305499,0.002908184,-0.025906736,-0.013126492,-0.002966589,-0.03875969,-0.014446228,-0.030114226,0.020864382,0.098958333,0.049180328,-0.001090239,-0.030430977,0.087540528,0,-0.000962464,-0.03569111,-0.011993383,0.004893964,-0.014516129,-0.016146394,-0.006402049,-0.029733959,-0.028275212,0.005,0.023454158,-0.006965607
2015-3-11,0,0.023781213,-0.01758794,-0.018387097,-0.020599251,0,0.008474576,0.004166667,0.008604794,0.004036327,-0.021058445,0.005387205,0.01981352,0,-0.014180374,0.039190898,0.009495137,0.087431694,0,0,-0.012809564,-0.021006081,-0.003423192,-0.000812348,-0.021842355,0.000949668,0.002215642,0.016489988,-0.007830854,0.013445378,0.018039687,-0.010471204,-0.047089041,0,0.019627085,0.062355658,-0.028540066,0.026006711,-0.01650165,0.008645533,-0.004201681,0.01754386,0.028753994,0,-0.017391304,0.026466381,0.033745782,-0.004037685,-0.008781559,-0.008363202,-0.016426083,0.005934718,-0.027777778,-0.018,0.023819651,-0.018810371,-0.024447031,-0.036216224,-0.004210526,0.013243494,0.004171011,-0.020437956,0,-0.004352557,-0.049248426,0.056249983,0.014567669,0,0.010700389,0.040513167,0.032891927,-0.029295329,-0.004815409,-0.010649627,-0.007623888,-0.01540832,0,-0.00990099,0.004282655,0.023618538
2015-3-10,0,0.001190476,0.003783102,0.015062213,-0.007434944,0.032484636,-0.007012623,-0.004149378,0.010559006,0.015368852,0.04087677,-0.021094265,0.021428571,0,0.026790914,0.001265823,-0.002771363,0.009191176,0,0,-0.005097706,0.008923592,0.014763352,-0.004850445,0.012013455,-0.006603774,0.001998062,0.035365854,0.005511811,0.001683502,0.009714633,-0.00087184,0.017421603,0.012769354,0.050515464,0.006976744,-0.003282276,0.012744265,0.025380711,0.002890173,-0.010806318,0.0032,-0.003184713,0,0.001451379,0.018208303,0.012528474,0.001347709,-0.008705114,-0.00238379,0.007522568,-0.003548196,0.022727273,0.019367992,0.026637555,0.007684426,0.009400705,0.000476712,0.026657061,0.011753644,-0.015400411,0.011816839,0.021276596,0.004371585,-0.018320604,0.056603184,-0.000469704,0,0.00097371,0.022084196,0.002140411,0.027664768,0.01465798,-0.014690451,0.027415144,0.00620155,0.006641366,-0.002469136,0.002145923,0.003129191
2015-3-9,0,0.019417476,0.003797468,-0.005535656,0.001862197,-0.02566296,0.056296296,-0.005502063,0.098226467,0.040511727,0.024894123,0.06906272,0.013268999,0,0.013577332,0.014120668,0.013339574,0.005545287,0,0,0.03975265,0.010710259,0.002612103,0.008972268,0.049420071,0.003787879,-0.021988867,0.013597033,0.034201954,0.018867925,-0.011404562,0.025022341,0.024085638,-0.004765687,-0.023162135,0.026252983,0.038636364,-0.02807597,-0.015,0,0.042461005,0.011326861,-0.04414003,0,0.057559478,0.062693498,-0.024444444,-0.00669344,0.008781559,0.018203883,0.008088979,0.025469982,-0.036935705,0,-0.006938422,0.009829281,0.002355713,0.015984425,0.004341534,0.004961021,0.048439182,-0.004411765,-0.00265252,0.012168142,0.002039775,0.015325704,0.008049242,0,-0.009643202,0.002074689,0.027264732,0.005728314,0.001631321,-0.009355509,-0.005194805,0.004672897,0.051896208,0.007462687,0.017467249,-0.001339286
2015-3-6,0.033103448,0.008567931,-0.007537688,-0.027549082,0.030710173,0.001713796,0.02118003,-0.012228261,0.011732229,-0.003188098,0.027447922,0.022334294,0.03237858,0,-0.014543339,-0.022584693,-0.00627907,0.020754717,0,0,-0.018213356,-0.018262313,-0.022968949,0,-0.027941176,-0.013084112,0.028064693,-0.029976019,0.00903862,-0.034768212,-0.037550549,-0.011484099,-0.046768707,-0.030792918,-0.02359882,-0.023310023,0.019698725,-0.010620915,0.005025126,0.01317716,0.000867303,-0.026771654,0.006125574,0,-0.019563582,-0.03003003,-0.03640257,0.023287671,-0.007625272,-0.03286385,0.002534212,-0.024837374,0.009668508,-0.023880597,0.003481288,-0.021265823,0.041717791,-0.02984008,0.059815951,-0.011212334,-0.037305699,-0.036827195,0.018918919,-0.016322089,0.099831394,-0.018796801,-0.022674688,0,-0.02262017,0.001385042,0.013368984,0.049828179,-0.051083591,0.021231423,0.003911343,-0.028744327,0.000499251,-0.017114914,-0.012931034,0.016795279
2015-3-5,-0.034620506,-0.007290401,-0.014851485,0.034731324,0.025590551,-0.009337861,0.012251149,0.009602195,0.065441176,0.002129925,-0.015960362,0.002890173,0.049673203,0,0.050091631,0.008860759,-0.005320379,0.07505071,0,0.034852547,0.015859031,-0.012028431,-0.006759611,-0.004061738,0.063607925,0.007532957,-0.005027459,0.002403846,-0.008149959,-0.019480519,0.038392322,0.003546099,0.006849315,0.000770416,0.005934718,0.036231884,0.012910798,-0.012106538,-0.024509804,0.049961568,-0.016211604,-0.010903427,0.054927302,0,0.016055046,0.021472393,0.033185841,-0.001367989,0.021134594,-0.001172333,-0.008044243,-0.009373169,0.069423929,-0.000994036,-0.025445293,0.009197752,-0.013317191,-0.023405293,0.039043825,0.023183556,0.008359457,0.017291066,0.054131054,-0.008629989,0.038439413,0.024061347,-0.012791229,0,0.01047619,-0.02300406,0.065021357,0.028268551,0.073089701,0.006410256,-0.04483188,-0.017830609,0.00805234,-0.023866348,-0.004291845,-0.019145147
2015-3-4,0.014179608,0.003658537,0.099319728,0.000655738,0.001972387,0.010291595,0.0155521,-0.006811989,0.018726592,0.042175361,-0.012727298,-0.011428571,0.02,0,0.006765068,0.019354839,0.001621872,0.006122449,0,0.039962825,0.035583942,0.010497238,0.028236316,0.019039735,0.008942662,0.035087719,-0.003400608,0.050505051,0.005737705,-0.0144,0.010915706,0.006244425,0.01300954,0.006982157,-0.010763209,0.029850746,0.009478673,0.005681818,0.037288136,0.019592476,0.019130435,0.018239492,0.040336134,0,0.033175355,-0.016591252,-0.001104972,0.004120879,0.045348837,0.001173709,0.041906757,0.023995201,0.008941878,0.031794872,0.002124947,0.067648663,0.008547009,0.048100025,0.029532404,0.043391521,-0.002085506,0.004341534,0.005730659,0.02092511,0.002335084,0.009718071,0.018139535,0,0.010587103,0.043785311,0.024805447,0.050092764,0.100548446,0.002141328,-0.008641975,0.030627871,0.0446898,-0.002380952,0.013043478,0.006723442
2015-3-3,-0.025657895,-0.016786571,-0.035433071,0.033898305,-0.011695906,-0.016033755,-0.022796353,-0.021333333,-0.035404624,-0.00880088,0.00060672,0.092896175,-0.00530504,0,-0.011550152,-0.010217114,0.076040888,-0.006085193,0,0.100204499,-0.023172906,0.039035591,0.007439825,-0.00330033,-0.04231738,-0.020992366,-0.005184562,-0.008760951,-0.012145749,0.100352113,-0.00960961,0.003581021,-0.014529915,-0.027169811,0.100107643,-0.014705882,0.02676399,-0.028391167,0.046099291,-0.012383901,-0.033613445,0.006384677,0.010186757,0,0.003965107,-0.028571429,0.071005917,-0.006821282,-0.027149321,0.033980583,-0.019013361,0.005428227,0.087520259,-0.010152284,-0.017536534,0.020601336,-0.015625,0.039759761,0.015833333,0.0025,0.045801527,0.011713031,-0.033240997,-0.007650273,-0.01381692,-0.010576048,-0.024943311,0,0.051619433,-0.011173184,-0.016738403,0.049659202,-0.014414414,0.003222342,0.01758794,-0.013595166,-0.004188482,0.02189781,-0.023354565,-0.024912587
2015-3-2,-0.007184847,-0.003584229,0.020080321,0.020761246,0.007858546,0.006796941,0.029733959,0.004016064,-0.001443001,0,0,0.016666667,0.010723861,0,0.00304878,0.007722008,0.010073029,0.012320329,0,0.008247423,0.020928116,0.001149425,0.008830022,0.001652893,0.002525253,0.012560386,-0.001399272,0.025673941,0.026600166,0.100775194,-0.008338297,0.018231541,0.09962406,0.008371385,0.016411379,0.02,0.007352941,0.065546218,0.025454545,-0.000773395,-0.011627907,0.012934519,0.027923211,0,-0.004735596,-0.020803443,0.061557789,0.019471488,0.02433372,0.041719343,0.012486993,0.009129641,0.099821747,0.027111575,0.043572985,0.000557103,0.001203369,-0.00024985,0.002506266,-0.008919722,0.051605505,-0.001461988,0.019774011,0.025784753,0.032085854,0.018608823,0.031820309,0,0.049946865,0.09984639,0.004322767,-0.002912621,0.009090909,-0.009574468,-0.007481297,0.0592,-0.005208333,0.030075188,0.00856531,0.045703839
