date,600351.ss,600352.ss,600353.ss,600355.ss,600356.ss,600360.ss,600362.ss,600363.ss,600365.ss,600366.ss,600367.ss,600370.ss,600372.ss,600375.ss,600378.ss,600379.ss,600380.ss,600381.ss,600385.ss,600388.ss,600389.ss,600390.ss,600391.ss,600392.ss,600398.ss,600399.ss,600400.ss,600401.ss,600405.ss,600408.ss
2015-4-17,-0.012102874,0.00987066,-0.019354839,-0.012313675,-0.010619469,-0.006811989,0.045944679,0,-0.006423983,0.076662542,0.00631136,0.035058188,0.015183723,-0.002610966,0.013180516,0,0.017894299,0.008007117,0.049939099,0.013541667,-0.013858093,-0.002536462,0.073761133,0.047848426,0.004043312,0.006558401,-0.009505703,0.030254777,0.00071582,0.014084507
2015-4-16,-0.000755858,0.018723994,0.039686976,-0.016571064,-0.001766784,0.018030513,0.012820513,0,-0.000713267,0.043305471,0.004225352,-0.033870741,0.099866399,0.003931848,0.012180974,0,-0.073988439,0.008071749,0.011706716,0.03198065,-0.000277085,0.001905972,0.038415935,-0.014245014,0.015742781,0.014575412,0.000951475,-0.030864198,-0.002142857,0.002016129
2015-4-15,-0.030058651,-0.044400265,-0.09964771,-0.014447236,-0.054302423,-0.037383178,-0.018639329,0,-0.065333333,-0.038657858,-0.065174457,-0.0111642,-0.038844302,-0.034177215,-0.021010789,0,0.012485369,-0.07057516,-0.036795252,-0.043690568,-0.050013161,0.02274204,-0.065381206,0.00445151,-0.001367582,-0.041020966,-0.07155477,-0.1,0.003584229,-0.044315992
2015-4-14,0.059006211,-0.031139647,-0.015361744,0.020512821,-0.011560694,0.019047619,-0.020091324,0,0.018329939,-0.024046512,-0.007838014,-0.039816611,-0.007329509,0.015424165,0.013816926,0,0.1,-0.011263736,-0.028258362,-0.018415742,0.013066667,-0.027180784,-0.023587968,-0.015032884,-0.015477919,-0.042478906,-0.035775128,0.100076394,0.006493506,0.035928144
2015-4-13,0.035369775,0.014327581,0.015090543,0.016286645,0.023668639,0.013793103,-0.001823154,0,-0.010080645,0.010050607,0.022712091,0.100252893,0.012911556,0.028420357,0.023571008,0,0.100094429,-0.035761589,0.006968641,0.019285163,0.027115859,0.018673535,0.022119,0.001882648,0.027662591,0.008805401,0.052914798,0,0.011678832,0.01417004
2015-4-10,0.017170891,0.0375,0.067669173,0.014540648,0.074477748,0.055312955,0.006883892,0,0.006085193,0.028423693,0.019060585,0.08699583,0.054100034,0.100363636,0.024140012,0,0.02566586,0.000795334,0.025,0.010917598,-0.015902965,0.059345157,0.074126871,0.027401676,0.002774288,0.021282974,0.078336557,0,0.013313609,0.024896266
2015-4-9,-0.031670625,0.021394065,0.051383399,-0.028883184,-0.031662269,-0.039160839,-0.016252822,0,0.013708019,-0.014012911,-0.022621424,0.099698507,-0.041422048,-0.0234375,-0.034944671,0,0.10015983,-0.017452462,-0.024390244,-0.015609007,0.067933218,-0.034891376,-0.028393352,-0.056856187,-0.036740336,-0.04137931,0.006815969,0,-0.041814316,-0.036
2015-4-8,-0.038812785,-0.039124668,0.1,-0.056329497,0.007978723,-0.01920439,-0.025516938,0,0.014603616,-0.04073326,-0.025923526,-0.017804175,-0.027284264,-0.018815331,-0.018857143,-0.051518438,0.100234467,0.017223105,0.019538188,-0.028102462,-0.040861403,-0.027528809,-0.055385957,-0.024614472,-0.001334056,0.010159652,0,0.1,-0.028236915,-0.027237354
2015-4-7,0.040380048,0,0.099726776,-0.012559809,0.042513863,0.013908206,0.030371714,0,0.027142857,0.002450272,0,0.004969573,0.00031736,0.011988717,0.012731481,0.064050779,0.099935525,0.022764228,-0.016880093,-0.004456549,0.005831713,0.011658031,-0.00130662,0.018423437,0.000667473,-0.001738626,0.06204757,0.099815157,0.01184669,0.009823183
2015-4-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
