date,600600.ss,600601.ss,600602.ss,600608.ss,600609.ss,600610.ss,600612.ss,600613.ss,600614.ss,600615.ss,600616.ss,600618.ss,600619.ss,600623.ss,600629.ss,600630.ss,600634.ss,600636.ss,600651.ss,600654.ss,600660.ss,600664.ss,600666.ss,600667.ss,600668.ss,600671.ss,600673.ss,600678.ss,600679.ss,600680.ss,600685.ss,600686.ss,600687.ss,600688.ss,600689.ss,600690.ss,600691.ss,600695.ss,600698.ss,600699.ss,600702.ss,600703.ss,600707.ss,600710.ss,600715.ss,600720.ss,600721.ss,600722.ss,600725.ss,600727.ss
2015-3-30,0.018691589,0.015963512,0.001123596,0.018357488,0.007042254,-0.008474576,-0.001699958,0.006944444,0,0.006659836,0,0.011314186,0.003623188,0.077610373,0.006148441,0.005144695,0.002469136,0.015312412,0.037567084,0,0.004030091,-0.002873563,0.038515562,0,0.030209618,-0.056576402,-0.027513547,-0.016120067,0,0.100096712,0.00694927,0.016879795,0.003092385,0.009157509,-0.045341615,0.03030303,0,-0.003191489,-0.002415459,-0.040852057,0.005089059,0.026941363,0.002138275,0.1008,0.039569892,0.085222121,0.06372549,0,0,0.039402174
2015-3-27,-0.005345108,-0.015712682,-0.005586592,-0.016159696,0.014285714,0.008547009,0.024379626,-0.008179079,0.082723949,0.002053388,-0.00918197,-0.008628128,0,0.09984509,0.000439367,0.012369792,0.020151134,-0.007598324,0.005395683,0,0.042616975,0.035714286,0.009004716,0,0.011221945,0.058341863,-0.000999657,0.004466778,0,0.032451323,-0.049537649,0.013478486,-0.000386399,-0.016216216,0.079088472,0.007206443,0,-0.002123142,0.019704433,0.027278177,-0.017008504,0.013383298,0.043122677,0.004823151,0.050135501,0.002727273,0.058561898,0.005830904,0,0.019390582
2015-3-26,0.021604938,-0.028353326,-0.019715225,0.032384691,-0.034482759,-0.005947324,0.100095785,0.01975417,0.034026465,-0.013171226,0.058303887,0.006950478,0.030812325,0.100170542,-0.009573542,0.007213115,-0.008739076,0,-0.002690583,0,-0.009512582,-0.00099108,-0.009854479,0,0.003754693,-0.028827038,-0.035662434,0.006745363,0,-0.049810247,0.100024219,-0.032112393,-0.006144393,0.02398524,-0.023560209,-0.038320424,0.099815157,-0.016701461,0.100271003,-0.081750619,0.010616785,-0.001069519,0.031441718,0.029801325,-0.002253267,0.019462465,0.100326264,-0.022792023,0,-0.009602195
2015-3-25,0.010314224,0.032657658,0.026996625,0.100431965,0.006944444,0.011168385,0.024785276,0.007073386,0.0997921,-0.012506253,-0.007017544,-0.020425532,-0.015625,0.100187566,0.007894737,-0.007807417,-0.018983466,-0.002331821,-0.010647737,0,0.036352442,0.017137097,-0.007914343,0,-0.009299442,0.080558539,0.041143901,0.049557522,0,0.026290166,0.037697914,0.013218099,-0.042647059,-0.025179856,-0.018625562,0.022509379,-0.012773723,0.020234292,0.004081633,0.052433372,-0.016409746,-0.016307207,-0.000766284,0.003322259,-0.000900495,0,0.052360515,0.001426534,0,0.002751032
2015-3-24,-0.009032565,-0.016611296,-0.024149286,-0.02010582,0.006993007,-0.042763158,0.026965726,-0.034571063,0.012631579,0.004018081,-0.025641026,-0.025704809,-0.009107468,0.099862492,-0.01511879,-0.025364616,-0.00970285,-0.010386802,-0.038395904,0,0.036398721,-0.018793274,-0.029809901,0,-0.032393521,0,0.012703201,0.014362657,0,0.031124498,-0.0228389,-0.0165,-0.021582734,-0.008912656,0.05559322,0.030055818,-0.024911032,0.079310345,-0.031620553,0.100063735,0.039813857,-0.025627883,0.073190789,-0.009868421,-0.010690423,-0.010999083,-0.029975021,-0.01958042,0,-0.025469169
2015-3-23,0.018151016,0.067375887,0.005518764,0.008537887,0.034358047,0.015873016,-0.000755477,0.035809019,-0.001576458,0.034285714,0.014744146,0.049608355,0.009191176,0,0.014016645,0.002542912,0.00794621,0.063190427,0.0335097,0,0.00772192,0.011,-0.018181963,0,0.018948655,0.01416122,0.078947645,0.071153846,0,0.009118541,-0.014759255,-0.021047479,0.010909091,0.02,0.073508006,0.013049152,0.014440433,0.01754386,0.005298013,0.064089522,0.029818956,0.014560582,-0.010577705,0.004958678,0.008082622,0.006457565,0.02212766,0.021428571,0,0.002688172
2015-3-20,-0.002655081,0.100130039,0.028376844,0.020697168,-0.0125,0.05,-0.011451332,-0.003085059,-0.011941848,0.019597458,-0.008598452,-0.010335917,0.024482109,0,-0.005228758,-0.012554928,0.067188519,-0.012720094,0.011596789,0,-0.005758092,0.013171226,0.099999805,0,-0.002439024,-0.002715915,0.027026736,0.037234043,0,0.010235415,0.018231091,0.026117529,-0.010791367,-0.003623188,-0.010799136,-0.008196721,-0.014234875,0,0.024423338,0.003402518,0.005891805,0.005227392,-0.004051864,0.034188034,0,-0.025179856,0.056654676,0.057401813,0,0.019178082
2015-3-19,-0.011217184,-0.006459948,0.023228804,-0.01396348,0.054613936,0.049723757,0.001745636,-0.019022914,0.021208908,-0.007360673,-0.008525149,-0.007692308,-0.014842301,0,-0.001739887,0.02377892,0.001960784,0.000606375,0,0,-0.006357427,-0.01497006,0,0,0.01863354,-0.004326663,-0.000562835,-0.022106632,0,-0.008121827,0.006197323,0.095159516,0.038863976,0.029850746,0.005065123,-0.030125523,0.005366726,0.0094451,0,-0.003728814,-0.010598834,-0.018471011,0.019834711,-0.003407155,0.049976426,-0.012433393,0.028677151,0.006079027,0,-0.001367989
2015-3-18,0.022699536,0.002590674,0.007017544,0.001075269,0.007590133,0.024528302,0.054708048,-0.0106929,0.001593202,0.06793936,0.011206897,0.029023747,0.001858736,0,0.04929256,0,0.026156942,0.008557614,-0.005323869,0,0.043103412,0.01417004,0,0,0.010037641,0.002168022,0.048377445,0,0,0.011813046,-0.002965892,-0.010881393,0.01594533,0.013232514,-0.004322767,0.025311025,0.020072993,0.018028846,0.039492243,0.079795022,-0.002642706,0.037253858,0,0.029824561,-0.000942063,0.044526902,0.005581395,0.032967033,0,0.031029619
2015-3-17,-0.001948843,0.057534247,-0.006968641,0.019736842,0.005725191,0.006647673,0.000526316,0.010808474,-0.006332454,-0.002240896,0.001727116,-0.005249344,0.007490637,0,-0.012618297,-0.00511509,-0.007984032,-0.010284818,0.003561888,0,0.003994628,0.030239833,0,0,-0.006234414,-0.009129968,0.026650423,-0.014734145,0,0.016710183,0.063337714,-0.003794038,0.010356732,0.039292731,-0.005730659,0.003875969,0.020484171,0.014634146,0.020143885,-0.002919708,-0.014583333,0.022306855,0.028037383,0.036363636,-0.001411101,0.012206573,0.019924099,0.004731861,0,0.017216643
